Date,GLD,DXY,SP500,TNX,CPI,Inflation,Real_Rate,GLD_Lag30,GLD_Lag60,GLD_Lag90,GLD_MA30,GLD_MA90,GLD_Mom30
2007-02-05,64.30999755859375,85.08000183105469,1446.989990234375,4.808000087738037,204.226,2.420260782347028,2.387739305391009,61.79999923706055,61.88999938964844,58.5,62.65966669718424,61.37133348253038,2.509998321533203
2007-02-06,64.79000091552734,84.77999877929688,1448.0,4.764999866485596,204.226,2.420260782347028,2.344739084138568,61.619998931884766,62.040000915527344,58.5,62.76533342997233,61.4412223815918,3.170001983642578
2007-02-07,64.62999725341797,84.75,1450.02001953125,4.744999885559082,204.226,2.420260782347028,2.324739103212054,61.380001068115234,61.11000061035156,58.7400016784668,62.87366663614909,61.50666677686903,3.2499961853027344
2007-02-08,65.5199966430664,84.69999694824219,1448.31005859375,4.730000019073486,204.226,2.420260782347028,2.3097392367264584,61.650001525878906,62.95000076293945,59.810001373291016,63.00266647338867,61.570111168755425,3.8699951171875
2007-02-09,66.12000274658203,84.87000274658203,1438.06005859375,4.783999919891357,204.226,2.420260782347028,2.3637391375443295,61.97999954223633,62.4900016784668,59.790000915527344,63.1406665802002,61.64044452243381,4.140003204345703
2007-02-12,65.66999816894531,85.1500015258789,1433.3699951171875,4.803999900817871,204.226,2.420260782347028,2.383739118470843,62.220001220703125,62.189998626708984,59.470001220703125,63.255666478474936,61.70933337741428,3.4499969482421875
2007-02-13,65.83999633789062,84.7300033569336,1444.260009765625,4.814000129699707,204.226,2.420260782347028,2.393739347352679,62.900001525878906,61.630001068115234,59.150001525878906,63.35366630554199,61.783666653103296,2.9399948120117188
2007-02-14,66.37000274658203,84.19999694824219,1455.300048828125,4.730000019073486,204.226,2.420260782347028,2.3097392367264584,63.209999084472656,61.84000015258789,57.11000061035156,63.45899976094564,61.88655556572808,3.160003662109375
2007-02-15,66.41000366210938,84.01000213623047,1456.81005859375,4.705999851226807,204.226,2.420260782347028,2.2857390688797787,62.279998779296875,61.310001373291016,56.369998931884766,63.59666659037272,61.998111173841686,4.1300048828125
2007-02-16,66.36000061035156,84.08999633789062,1455.5400390625,4.690000057220459,204.226,2.420260782347028,2.269739274873431,61.650001525878906,61.779998779296875,56.91999816894531,63.75366655985514,62.10300008985731,4.709999084472656
2007-02-20,65.30999755859375,84.19000244140625,1459.6800537109375,4.679999828338623,204.226,2.420260782347028,2.259739045991595,60.16999816894531,61.77000045776367,56.9900016784668,63.92499987284342,62.19544448852539,5.1399993896484375
2007-02-21,67.3499984741211,84.20999908447266,1457.6300048828125,4.691999912261963,204.226,2.420260782347028,2.271739129914935,60.47999954223633,62.27000045776367,57.0,64.15399983723958,62.31044447157118,6.869998931884766
2007-02-22,67.1500015258789,84.31999969482422,1456.3800048828125,4.730000019073486,204.226,2.420260782347028,2.3097392367264584,60.849998474121094,62.5,56.880001068115234,64.36399993896484,62.42455558776855,6.3000030517578125
2007-02-23,67.72000122070312,84.06999969482422,1451.18994140625,4.677999973297119,204.226,2.420260782347028,2.2577391909500912,60.59000015258789,63.5,57.4900016784668,64.60166664123535,62.538222249348955,7.130001068115234
2007-02-26,68.0999984741211,83.93000030517578,1449.3699951171875,4.63100004196167,204.226,2.420260782347028,2.210739259614642,60.630001068115234,63.70000076293945,58.56999969482422,64.85066655476888,62.64411112467448,7.469997406005859
2007-02-27,65.41000366210938,83.4800033569336,1399.0400390625,4.513000011444092,204.226,2.420260782347028,2.092739229097064,62.16999816894531,63.56999969482422,59.16999816894531,64.95866673787435,62.713444519042966,3.2400054931640625
2007-02-28,66.4800033569336,83.56999969482422,1406.8199462890625,4.550000190734863,204.226,2.420260782347028,2.1297394083878354,61.970001220703125,63.15999984741211,58.650001525878906,65.10900014241537,62.80044453938802,4.510002136230469
2007-03-01,65.81999969482422,83.68000030517578,1403.1700439453125,4.556000232696533,205.288,2.9528585757271797,1.6031416569693535,62.63999938964844,64.38999938964844,58.59000015258789,65.21500015258789,62.88077786763509,3.1800003051757812
2007-03-02,63.709999084472656,83.73999786376953,1387.1700439453125,4.514999866485596,205.288,2.9528585757271797,1.562141290758416,62.2599983215332,64.12000274658203,59.40999984741211,65.26333351135254,62.92855563693576,1.4500007629394531
2007-03-05,62.93000030517578,84.1500015258789,1374.1199951171875,4.51800012588501,205.288,2.798197295943927,1.7198028299410826,63.0,64.12000274658203,58.779998779296875,65.26100018819173,62.97466676500108,-0.06999969482421875
2007-03-06,64.1500015258789,84.06999969482422,1395.4100341796875,4.5279998779296875,205.288,2.798197295943927,1.7298025819857603,62.720001220703125,63.810001373291016,57.7599983215332,65.30866686503093,63.04566680060493,1.4300003051757812
2007-03-07,64.30000305175781,83.77999877929688,1391.969970703125,4.497000217437744,205.288,2.798197295943927,1.698802921493817,64.2300033569336,62.689998626708984,58.16999816894531,65.31100018819173,63.11377796596951,0.06999969482421875
2007-03-08,64.4800033569336,84.0999984741211,1401.8900146484375,4.508999824523926,205.288,2.798197295943927,1.7108025285799986,64.33000183105469,62.72999954223633,58.7599983215332,65.31600023905436,63.17733357747396,0.15000152587890625
2007-03-09,64.25,84.23999786376953,1402.8399658203125,4.589000225067139,205.288,2.798197295943927,1.7908029291232115,64.05999755859375,62.04999923706055,59.290000915527344,65.3223336537679,63.23244467841254,0.19000244140625
2007-03-12,64.37000274658203,83.86000061035156,1406.5999755859375,4.552999973297119,205.288,2.798197295943927,1.754802677353192,64.16999816894531,62.56999969482422,59.400001525878906,65.32900047302246,63.287666914198134,0.20000457763671875
2007-03-13,63.720001220703125,83.7300033569336,1377.949951171875,4.494999885559082,205.288,2.798197295943927,1.6968025896151548,63.77000045776367,62.52000045776367,59.900001525878906,65.32733383178712,63.33011135525174,-0.049999237060546875
2007-03-14,63.939998626708984,83.61000061035156,1387.1700439453125,4.521999835968018,205.288,2.798197295943927,1.7238025400240904,64.22000122070312,62.47999954223633,60.2400016784668,65.3180004119873,63.371222432454424,-0.2800025939941406
2007-03-15,63.97999954223633,83.68000030517578,1392.280029296875,4.535999774932861,205.288,2.798197295943927,1.7378024789889341,64.83000183105469,62.119998931884766,61.36000061035156,65.28966700236002,63.40033353169759,-0.8500022888183594
